dates,RPI,UNRATE,PAYEMS,WPSFD49207,PCEPI,GS5,GS10,BAAFFM
722055,3.66076742538297,7.8,3.10664317692328,9.65411482179803,6.71155783296928,6.1,6.87,4.47
722086,-5.7907696374123,7.5,3.6043666711592,1.92153764036895,6.9063822297398,6.58,7.21,4.47
722117,3.87211174658191,7.6,4.42361242662415,13.3652932925468,9.36466046479758,6.83,7.39,4.44
722145,5.30142644469578,7.4,5.95644748306512,9.45631371036662,6.01178722796316,6.93,7.46,4.43
722176,5.13915700135215,7.2,4.9583503499008,5.63822493786503,6.9695674914799,6.79,7.37,4.34
722206,2.99838501937444,7,5.2742185798003,7.47665970076383,6.06061894328249,6.94,7.46,3.66
722237,1.88356106565948,7.2,5.83318278688267,3.72093321389748,6.66909106216647,6.76,7.28,3.52
722267,6.62604755400551,6.9,5.02293229233786,3.70943108360713,6.22112573868012,6.84,7.33,3.45
722298,4.67804753654804,7,3.48625093767936,7.38463868925443,5.59389414987201,7.03,7.4,2.92
722329,7.49155580640135,6.8,6.58317328064726,5.50880845031934,4.49348320868186,7.04,7.34,2.66
722359,10.3429129835504,6.8,3.843858616208,7.30595864070551,5.54717620058689,7.32,7.52,2.42
722390,9.3861751649257,6.8,5.32943670368056,9.07033796871275,6.91644566009977,7.34,7.58,2.44
722420,5.33033190451349,6.4,3.37400790543043,5.40947572702777,5.78208553654402,7.48,7.69,2.43
722451,-4.22887168961381,6.4,2.61295693878054,5.38519976326484,7.06162743996401,7.77,7.96,2.47
722482,5.35507577326371,6.3,5.0111549625278,8.92197418502221,5.57618456085116,7.83,8.03,2.42
722510,6.81099082193981,6.3,7.21095076299108,5.32151648143824,7.74184618024876,7.86,8.04,2.43
722541,6.86463214514603,6.1,9.81697798861845,14.0764077425885,9.04666153901594,7.98,8.15,2.43
722571,1.36707422957798,6,4.82305147413484,8.71463525014136,8.55460413732612,8.18,8.35,2.13
722602,4.3522768886163,5.9,6.10174323854338,10.3747043914247,7.82657454466769,8.36,8.46,2
722632,6.56682296430375,6.2,3.50035274664791,10.2857772601691,6.55327612451835,8.54,8.64,1.79
722663,5.44787627287064,5.9,3.83314482104282,1.7057572168536,6.030951760434,8.33,8.41,1.44
722694,1.54398799787003,6,1.89144776001839,11.8728883742371,6.8309077035952,8.43,8.42,0.97
722724,4.42888325153348,5.8,4.57919303576872,5.05263904361328,9.4709691335499,8.61,8.64,0.63
722755,2.06240421284818,5.9,5.92015808320454,10.0418996046194,6.80721883577,8.84,8.81,0.07
722785,6.78139063855809,6,3.79528391276764,13.2598034239017,5.61504037620626,9.08,9.01,-0.09
722816,4.10225045821946,5.9,1.85261391661342,14.7442127911816,8.99716712629832,9.2,9.1,0.06
722847,4.73407708224016,5.9,3.33290443248302,11.3437711725062,6.41901464780066,9.13,9.1,0.02
722875,3.68099203135799,5.8,5.69976538441921,9.63860603671627,9.31518387430739,9.2,9.12,0.17
722906,-9.61023654649793,5.8,-0.831768211460826,12.7322149344188,12.4404874989084,9.25,9.18,0.32
