dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUKx,GS5,GS10,BAAFFM
734990,1.04549807769274,0.192209508775321,2.30168126447339,74.6063,8.2,0.896298329737988,41.1,-3.44497844255862,-6.82348698197401,-1.41863883314528,6.56244409369372,-39.7382059764578,-5.71358052205255,0.76,1.8,4.91
735021,1.65962063774501,-1.80317392479878,-0.235005885890516,74.6743,8.2,0.653875309620133,41.1,2.87150172913506,-4.98702016460655,-0.649767383114508,6.62936325343745,-16.0227542290379,-28.0571866134839,0.71,1.62,4.86
735051,-7.3892001029769,2.94378423714505,3.14478330077286,74.4763,8.2,1.36035156980086,41.1,2.29226430734304,1.87256214851388,0.44524892833806,6.60665018619822,32.4699489994057,2.85081517109698,0.62,1.53,4.71
735082,-3.61247391462669,-1.05652833238103,-5.74731082030517,74.2397,8.1,1.53748764002444,40.9,-1.71878759391948,14.2600489758571,3.98783198518409,6.62539236800796,37.9326828069509,9.88669172257963,0.71,1.68,4.78
735113,6.61132784538978,2.55568150592964,0.587502370805737,74.101,7.8,1.66933881984619,41,1.71878759391948,11.0430227173946,3.68774236587015,6.74170069465205,33.6981681244993,30.4462450695187,0.67,1.72,4.7
735143,8.83619328705336,0.647055314941269,2.54132648665397,73.7506,7.8,1.41755992635737,41,1.1444922183717,1.22075290283661,3.50957723426752,6.81892406527552,-4.66466414590059,-3.42793501441196,0.71,1.75,4.42
735174,17.1509910453473,4.79410043511166,5.76816687677955,74.2129,7.7,1.38918794038503,41,2.85646409574856,-6.11622119157929,-0.798899059202185,6.72503364216684,-36.7019742271733,-8.38745301805459,0.67,1.65,4.35
735204,30.3482051371489,0.512945417892396,4.22836481360278,74.7211,7.9,2.12519275271319,41.2,1.14068449653839,-2.45524382327673,-0.119284294333255,6.88346258641309,23.6701795381105,13.2284215693564,0.7,1.72,4.47
735235,-60.5757685664358,4.47597364335941,-1.59147904180159,74.4002,8,1.695674168257,41.1,2.84697642435656,6.73986964527877,2.2286563460657,6.78897174299217,48.0528873912419,-13.4538936521918,0.81,1.91,4.59
735266,-5.16189761300936,-0.439714982464778,6.87293287808224,74.6702,7.7,2.46377540352753,41.3,2.84023801231967,7.30966727208298,4.36189079340004,6.86901445066571,25.5911540009429,-37.4851560473791,0.85,1.98,4.7
735294,2.6298975334079,0.249587735445544,4.86470634132345,74.5274,7.5,1.22999336042184,41.4,-0.567510060234433,-6.69882480534234,-1.59078791029756,6.9177056098353,30.1823859413762,-30.9502002569434,0.82,1.96,4.71
